Conference,Year,DOI,Author,AuthorOrder,AuthorOrderRank,CareerAge,CumPaper,AuthorsName,Gender
Vis,1990,10.1109/VISUAL.1990.146359,james helman,1,First,2,1,james,male
Vis,1990,10.1109/VISUAL.1990.146359,lambertus hesselink,2,Last,2,1,lambertus,male
Vis,1990,10.1109/VISUAL.1990.146360,gordon v. bancroft,1,First,3,1,gordon,male
Vis,1990,10.1109/VISUAL.1990.146360,fergus merritt,2,Middle,2,1,fergus,male
Vis,1990,10.1109/VISUAL.1990.146360,todd plessel,3,Middle,2,1,todd,male
Vis,1990,10.1109/VISUAL.1990.146360,paul g. kelaita,4,Middle,1,1,paul,male
Vis,1990,10.1109/VISUAL.1990.146360,r. kevin mccabe,5,Middle,1,1,mccabe,male
Vis,1990,10.1109/VISUAL.1990.146360,al globus,6,Last,1,1,globus,male
Vis,1990,10.1109/VISUAL.1990.146361,william l. hibbard,1,First,5,1,william,male
Vis,1990,10.1109/VISUAL.1990.146361,david a. santek,2,Last,2,1,david,male
Vis,1990,10.1109/VISUAL.1990.146362,james l. montine,1,First,1,1,james,male
Vis,1990,10.1109/VISUAL.1990.146363,gregory m. nielson,1,First,7,1,gregory,male
Vis,1990,10.1109/VISUAL.1990.146363,bernd hamann,2,Last,1,1,bernd,male
Vis,1990,10.1109/VISUAL.1990.146364,yaser yacoob,1,First,2,1,yaser,male
Vis,1990,10.1109/VISUAL.1990.146365,del lamb,1,First,1,1,del,male
Vis,1990,10.1109/VISUAL.1990.146365,amit bandopadhay,2,Last,2,1,amit,male
Vis,1990,10.1109/VISUAL.1990.146366,anthony j. maeder,1,First,1,1,anthony,male
Vis,1990,10.1109/VISUAL.1990.146367,james v. miller,1,First,1,1,james,male
Vis,1990,10.1109/VISUAL.1990.146367,david e. breen,2,Middle,5,1,david,male
Vis,1990,10.1109/VISUAL.1990.146367,michael j. wozny,3,Last,11,1,michael,male
Vis,1990,10.1109/VISUAL.1990.146368,ping-kang hsiung,1,First,2,1,ping-kang,
Vis,1990,10.1109/VISUAL.1990.146368,robert h. thibadeau,2,Middle,11,1,robert,male
Vis,1990,10.1109/VISUAL.1990.146368,christopher b. cox,3,Middle,1,1,christopher,male
Vis,1990,10.1109/VISUAL.1990.146368,robert h. p. dunn,4,Middle,2,1,robert,male
Vis,1990,10.1109/VISUAL.1990.146368,michael wu,5,Middle,1,1,michael,male
Vis,1990,10.1109/VISUAL.1990.146368,paul andrew olbrich,6,Last,1,1,paul,male
Vis,1990,10.1109/VISUAL.1990.146369,richard a. becker,1,First,13,1,richard,male
Vis,1990,10.1109/VISUAL.1990.146369,stephen g. eick,2,Middle,3,1,stephen,male
Vis,1990,10.1109/VISUAL.1990.146369,eileen o. miller,3,Middle,1,1,eileen,female
Vis,1990,10.1109/VISUAL.1990.146369,allan r. wilks,4,Last,2,1,allan,male
Vis,1990,10.1109/VISUAL.1990.146370,andrew j. hanson,1,First,7,1,andrew,male
Vis,1990,10.1109/VISUAL.1990.146370,pheng-ann heng,2,Middle,1,1,pheng-ann,
Vis,1990,10.1109/VISUAL.1990.146370,b. c. kaplan,3,Last,1,1,kaplan,male
